Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 472.215
T2-N12B2;93.2;;;;5.761;5.882;5.903;378.9;379.6;0.0027;0.0038;0.0235;0.028;0.0267;0.0438;0.0523;238.3;242;4.747;4.767;0.1974;0.1997;0.201;0.323;0.5053;0.489;0.4798;0.4799;0.4858;0.0303;0.4671;493.5;374.4;340.9;325.9;1;0.9886;0.9934;3.778;3.871;3.89;3.891;0.0877;0.088;0.1028;0.1203
T2-12B1;130.1;;;;28.03;28.73;28.32;35.32;35.31;0.01;0.0004;0.0665;0.0884;0.1043;0.9059;0.9248;1243;1364;16.68;16.86;0.4927;0.5051;0.5048;1.117;1.858;1.775;1.74;1.729;1.767;0.083;2.25;160.6;112.8;103.4;98.4;0.999;0.9902;0.9941;6.319;6.427;6.683;6.42;0.1067;0.0897;0.1726;0.3956
T2-F12D1;99.3;21.237;;;9.219;9.354;9.466;320.6;313.8;0.0042;0.0032;0.0735;0.0739;0.073;1.609;1.599;230.4;233.3;2.345;2.288;0.0938;0.096;0.0958;0.2176;3.007;3.002;2.955;2.967;3.021;0.0239;0.4466;635.8;490;448;430.6;0.9974;0.9871;0.9908;7.417;7.546;7.639;7.606;0.0817;0.0688;0.0973;0.104
T2-F12B2;97.3;;;;6.264;6.397;6.432;308.4;301.4;0.0018;0.003;0.0209;0.021;0.0216;0.0479;0.0547;207.8;209.6;4.682;4.674;0.1666;0.1681;0.1694;0.2755;0.4271;0.412;0.4068;0.4117;0.4115;0.024;0.4017;536.3;406.9;371.9;356.6;1.031;1.02;1.024;6.265;6.399;6.455;6.44;0.0634;0.0631;0.0751;0.0985
T2-F12D2;98.6;18.0202;;;9.578;9.731;9.846;312.2;303;0.0046;0.0035;0.0918;0.0914;0.0896;1.927;1.92;204.3;204.4;2.721;2.663;0.1035;0.1051;0.1058;0.2131;3.226;3.215;3.175;3.161;3.199;0.0208;0.3992;679.9;523.6;478.3;460.7;1.03;1.018;1.023;9.48;9.707;9.841;9.782;0.0766;0.0614;0.0897;0.0848
T2-L11B2;103.9;;;;10.21;10.36;10.45;57.72;57.94;0.0026;0.0016;0.0407;0.0437;0.0436;0.4369;0.4399;223.1;224;8.072;7.897;0.2931;0.2983;0.2991;0.4056;0.9121;0.8965;0.8847;0.8954;0.892;0.056;0.4444;619.6;467.6;431.5;412.5;1.044;1.033;1.036;8.397;8.595;8.684;8.679;0.0929;0.0906;0.1036;0.1287
T2-11B1;100.3;;;;21.7;22.21;21.89;26.92;26.55;0.0078;0.0009;0.0551;0.0708;0.0794;0.7168;0.7378;916.5;993.6;13.77;13.65;0.3839;0.3925;0.3941;0.8691;1.53;1.455;1.438;1.435;1.452;0.0739;1.736;167.3;114.6;104.8;99.47;1.018;1.004;1.011;8.569;8.75;8.921;8.785;0.1026;0.0901;0.1528;0.3181
T2-L11B1;117.7;;;;8.99;9.107;9.197;52.52;52.7;0.0022;0.0022;0.0409;0.0429;0.043;0.3769;0.3806;233.4;233.6;7.349;7.3;0.2637;0.2677;0.2696;0.384;0.9173;0.9077;0.8914;0.8935;0.9031;0.0549;0.4778;690.3;524.8;480.2;462.7;1.03;1.017;1.02;7.59;7.769;7.841;7.83;0.0658;0.0626;0.0785;0.1106
T2-N11E22;103.3;159.4101;;;5.71;5.824;5.854;357.7;358.4;0.0032;0.0032;0.0239;0.0266;0.0264;0.0335;0.0424;249.6;247.6;9.181;9.219;0.1971;0.1974;0.1993;0.3314;0.4738;0.4545;0.4487;0.4611;0.4516;0.0163;0.4947;483.6;360.1;326.1;310.7;1.024;1.012;1.016;10.16;10.39;10.56;10.48;0.0847;0.0852;0.1012;0.1258
T2-13A1;;;10;;37.3;38.01;37.12;45.95;45.68;0.0131;0.0009;1.657;1.664;1.643;0.5465;0.5838;1148;1141;119.8;103.5;5.275;5.372;5.374;5.618;44.93;44.95;44.65;44.49;44.73;0.0469;2.175;920;920;922.7;917.3;0.9314;0.9538;0.9465;8.731;8.93;9.148;8.903;0.9001;0.8975;1.183;1.19
T2-13A2;;;10;;38.14;38.84;37.95;46.9;46.86;0.0133;0.0014;1.691;1.699;1.673;0.5586;0.5967;1184;1182;122.8;105.8;5.431;5.498;5.5;5.73;45.92;45.74;45.59;45.34;45.63;0.0468;2.259;941.95;941.95;942.9;941;0.9262;0.9499;0.9454;8.949;9.152;9.409;9.135;0.918;0.9174;1.204;1.211
T2-P13A1;;;10;;1.067;1.688;1.17;62.88;62.82;0.0789;0.0009;0.6642;0.7195;1.013;0;0.0047;3403;3295;164.8;151;5.768;5.914;5.856;9.786;3.437;2.685;2.663;2.595;2.664;0.3041;18.93;3806.5;3806.5;3222;4391;0.7881;0.8041;0.8106;11.65;11.85;14.77;11.74;1.004;0.9253;1.639;3.531
T2-P13A2;;;10;;1.069;1.659;1.17;64.89;64.67;0.0721;0.002;0.5256;0.5869;0.8648;0;0.0058;3722;3251;160.3;147.1;5.242;5.398;5.303;9.083;3.221;2.51;2.478;2.389;2.492;0.2972;18.02;3715.5;3715.5;3169;4262;0.79;0.8075;0.8151;10.24;10.37;12.95;10.24;0.6882;0.6069;1.263;3.104
T2-L13A1;;;10;;300.4;310.1;278.8;55;54.95;0.1271;0.0051;1.235;1.273;1.853;9.642;10.12;3339;3540;190.2;176;7.917;8.024;8.005;14.55;35.93;34.79;34.51;34.3;34.93;0.6446;32.68;7935;7935;4910;10960;0.7388;0.7537;0.7659;9.577;9.162;14.23;9.108;1.082;0.8543;2.248;5.387
T2-L13A2;;;10;;287.1;296.8;268.2;68.6;68.22;0.1262;0.0054;1.203;1.234;1.816;9.204;9.58;3554;3487;186.1;174.4;7.104;7.257;7.213;13.59;35.1;34.2;33.6;33.28;34.16;0.629;29.73;7768;7768;4856;10680;0.7407;0.7591;0.7719;10.73;10.38;14.4;10.15;1.027;0.8099;2.139;5.238
T2-N13A1;;;10;;0.8326;0.8391;0.8436;56.62;55.96;0.001;0.0019;0.0318;0.0306;0.0298;0.0218;0.0257;76.12;76.37;64.81;61.78;0.874;0.8891;0.8689;0.8646;0.1252;0.1201;0.1172;0.1213;0.123;0.0027;0.1164;226.2;226.2;232.6;219.8;0.9518;0.9751;0.9696;0.3985;0.4041;0.4153;0.3986;0.0101;0.0111;0.0145;0.0433
T2-N13A2;;;10;;0.086;0.1117;0.0876;48.68;48.23;0.0046;0.0035;0.0383;0.0456;0.0459;0;0.0022;454.6;468.7;76.94;73.25;1.942;1.976;1.957;2.132;0.0561;0.0158;0.0154;0.0125;0.0157;0.0176;0.9089;444.85;444.85;455.2;434.5;0.9349;0.9591;0.9543;0.6166;0.6204;0.7098;0.6102;0.0154;0.012;0.0425;0.1521
T2-N13G1;;;10;;0.0521;0.0631;0.0513;43.77;43.32;0.0015;0.002;0.0346;0.035;0.0353;0;0.0044;147.4;149;45.37;44.32;0.6143;0.6264;0.6175;0.6697;0.1523;0.1415;0.1377;0.1365;0.1446;0.006;0.2522;200.75;200.75;207;194.5;0.9565;0.9794;0.9724;0.2953;0.2963;0.3266;0.2956;0.0404;0.0415;0.0484;0.093
T2-N13G2;;;10;;0.2399;0.2554;0.2425;55.58;55.04;0.002;0.0021;0.0322;0.0328;0.0335;0;0.0042;201;201.8;46.07;44.84;1.005;1.011;1.007;1.058;0.0398;0.0227;0.0225;0.0203;0.0251;0.0076;0.3612;236.35;236.35;243.3;229.4;0.9499;0.9748;0.9658;0.5223;0.5265;0.5622;0.523;0.0186;0.0184;0.0294;0.0797
T2-F13A1;;;10;;2.63;3.089;2.738;62.85;62.66;0.0549;0.0025;0.4395;0.4963;0.6851;0;0.0011;3190;3097;124.5;118.6;4.312;4.403;4.366;7.341;4.506;3.972;3.897;3.835;3.928;0.225;13.62;3056;3056;2747;3365;0.8225;0.8434;0.8456;11.57;11.77;13.93;11.64;0.7739;0.7173;1.216;2.612
T2-F13A2;;;10;;2.862;3.36;2.981;61.77;61.15;0.0583;0.0005;0.3546;0.4186;0.6313;0;0.0031;3254;3108;133.1;125.9;4.343;4.46;4.394;7.603;3.814;3.238;3.177;3.105;3.21;0.2375;14.52;3221.5;3221.5;2857;3586;0.8195;0.8391;0.8442;21.43;21.74;24.2;21.77;0.5768;0.5088;1.035;2.524
T2-F13Z1;;;10;;0.7119;1.015;0.7681;53.46;53.02;0.0379;0.0014;0.3267;0.3813;0.4902;0;0.0125;3059;2815;90.36;88.64;3.001;3.076;3.052;5.266;5.514;5.174;5.068;5;5.138;0.1567;9.097;2275.5;2275.5;2151;2400;0.8652;0.8865;0.8886;2.107;1.857;3.16;1.865;0.5305;0.4929;0.8222;1.752
T2-F13Z2;;;12.5;;0.5864;0.7508;0.6209;36.04;35.78;0.022;0.0007;0.1638;0.2074;0.2502;0;0.02;2311;2287;52.7;54.06;1.677;1.686;1.675;2.958;2.754;2.552;2.504;2.455;2.535;0.09;4.988;1405;1405;1396;1414;0.8958;0.9174;0.9165;1.266;1.115;1.929;1.129;0.2097;0.1876;0.3646;0.8859
T2-F13D2;96.4;14.0213;;;12.85;12.95;12.8;52.65;52.3;0.0033;0.0011;0.0512;0.0541;0.0523;0.5383;0.5463;271.1;275;9.256;9.33;0.3324;0.3338;0.3364;0.4777;1.109;1.089;1.074;1.067;1.078;0.0625;0.5818;561.9;561.9;575.3;548.5;0.9613;0.9801;0.9717;6.338;6.488;6.56;6.507;0.0667;0.0609;0.0819;0.1323
T2-L13B2;114;;;;9.818;9.872;9.954;238;222.6;0.0047;0.003;0.1455;0.1433;0.1406;1.918;1.919;224.4;229.8;2.622;2.622;0.1179;0.1175;0.1197;0.2385;6.703;6.652;6.609;6.573;6.643;0.0254;0.4372;518.5;518.5;530.3;506.7;0.9577;0.976;0.9713;8.795;9.024;9.124;9.08;0.109;0.0923;0.1401;0.1421
T2-F13D1;106.2;19.7784;;;11.34;11.44;11.53;289.8;276.1;0.0046;0.0043;0.0883;0.0903;0.0861;1.7;1.702;233.9;231.4;3.076;3.111;0.1269;0.1275;0.1287;0.2551;4.47;4.429;4.394;4.404;4.426;0.0248;0.4719;504.45;504.45;515.8;493.1;0.9672;0.9907;0.9832;10.43;10.69;10.83;10.78;0.1092;0.0946;0.132;0.1342
T2-P13B1;100;;;;7.121;7.23;7.26;255.1;237.9;0.0033;0.0016;0.0242;0.0252;0.0271;0.2273;0.2358;246.9;252.2;4.466;4.561;0.149;0.1502;0.1504;0.287;0.7524;0.7315;0.7184;0.7262;0.729;0.031;0.5069;331;331;340.5;321.5;0.9755;0.9983;0.9905;6.602;6.754;6.815;6.763;0.0882;0.0851;0.1027;0.1383
T2-N13B2;99.4;;;;5.393;5.456;5.473;336;334.1;0.0033;0.0004;0.0193;0.0188;0.0223;0.0492;0.059;251.5;256.8;4.987;5.152;0.1486;0.15;0.1509;0.2899;0.2242;0.2025;0.1999;0.2137;0.1996;0.0186;0.5164;305.75;305.75;315.5;296;0.9702;0.9946;0.9885;10.45;10.73;10.85;10.79;0.0949;0.0934;0.1085;0.1472
T2-P13B2;98.9;;;;8.076;8.146;8.227;249.6;232.8;0.0033;0.0028;0.0255;0.0324;0.0288;0.1907;0.2;266.8;271.9;4.217;4.287;0.1395;0.142;0.1415;0.2911;0.7382;0.7111;0.7001;0.7057;0.7071;0.0243;0.5628;326.45;326.45;336.4;316.5;0.9809;1.005;0.9987;8.206;8.42;8.527;8.467;0.0561;0.0526;0.0727;0.1104
T2-N13B1;99.8;;;;5.247;5.285;5.307;346;344.2;0.0031;0.0025;0.0192;0.0248;0.0234;0.0509;0.0603;241.6;242.3;5.551;5.738;0.1689;0.1685;0.1705;0.3016;0.2769;0.2542;0.2522;0.2639;0.2521;0.0177;0.4922;300.35;300.35;309.1;291.6;0.977;1.001;0.9936;9.968;10.22;10.35;10.3;0.0785;0.0769;0.0925;0.1257
T2-F13B1;98.5;;;;7.167;7.229;7.305;277;264.4;0.003;0.001;0.0173;0.0182;0.02;0.0768;0.0851;219.1;216.2;3.856;3.908;0.1316;0.1325;0.1337;0.2528;0.282;0.264;0.2584;0.2653;0.2609;0.028;0.4379;328.5;328.5;339;318;0.9903;1.011;1.004;6.566;6.731;6.799;6.737;0.0696;0.0679;0.0806;0.1117
T2-F13B2;97.5;;;;6.963;7.071;7.094;278.9;260.6;0.0032;0.002;0.0164;0.0202;0.0184;0.0734;0.0824;235;229.3;4.015;4.073;0.1314;0.1314;0.1329;0.2562;0.2231;0.2037;0.2022;0.2108;0.2022;0.0282;0.459;328.85;328.85;338.9;318.8;0.9816;1.003;0.9968;7.847;8.042;8.149;8.089;0.078;0.076;0.0896;0.1214
T2-13B1;98.3;;;;20.25;20.51;20.19;48.31;48.09;0.0073;0.0002;0.0723;0.0822;0.0851;0.9225;0.9377;704.5;721.4;14.22;14.49;0.5558;0.5592;0.5614;0.9358;1.668;1.6;1.588;1.584;1.597;0.0557;1.452;157.75;157.75;163.5;152;0.9884;1.004;0.9972;8.502;8.692;8.843;8.741;0.0916;0.0784;0.1332;0.2725
T2-13B2;95.8;;;;22.35;22.62;22.22;65.65;65.04;0.0059;0.0008;0.1061;0.109;0.1131;1.347;1.353;551.8;566.5;17.57;18.08;0.7866;0.7882;0.7922;1.068;2.324;2.254;2.252;2.245;2.252;0.0424;1.154;204.65;204.65;211.6;197.7;0.9832;0.998;0.9904;10.2;10.43;10.53;10.53;0.136;0.1223;0.1662;0.268
T2-N12E12;93.4;152.865;;;4.606;4.636;4.651;314.8;307.9;0.0031;0.0014;0.0213;0.0228;0.0219;0.0294;0.0376;216.5;218.9;16.64;17.28;0.204;0.205;0.2068;0.314;0.3684;0.3501;0.3454;0.3539;0.3452;0.0222;0.4125;296.6;296.6;306.1;287.1;0.9643;0.9813;0.9753;7.726;7.932;8.036;7.976;0.0694;0.0689;0.082;0.1083
T2-N12E21;97.2;175.351;;;5.104;5.135;5.155;319.8;316.7;0.0024;0.0018;0.0202;0.0235;0.023;0.0429;0.0514;209.9;211.1;8.574;8.766;0.2058;0.207;0.2083;0.3113;0.4187;0.3995;0.3971;0.3959;0.3971;0.0218;0.404;294.75;294.75;303.9;285.6;0.9663;0.9888;0.9818;3.076;3.152;3.196;3.154;0.0624;0.0616;0.0747;0.1014
T2-N12E22;115.8;175.351;;;6.163;6.286;6.31;397;399.2;0.0029;0.003;0.0258;0.0321;0.0286;0.0495;0.0585;247.4;247.4;4.952;4.98;0.2109;0.2118;0.2145;0.3456;0.5139;0.4913;0.4867;0.4965;0.4909;0.0487;0.5111;348.5;348.5;356.5;340.5;0.9985;0.9887;0.9918;8.865;9.067;9.182;9.136;0.0967;0.097;0.1123;0.1339
T2-N12E11;97.9;152.865;;;5.064;5.121;5.156;347.3;347.7;0.0028;0.0036;0.0212;0.0248;0.0252;0.0384;0.0466;239.6;235.6;4.761;4.756;0.1722;0.173;0.1744;0.3005;0.4103;0.3912;0.3846;0.3905;0.389;0.0311;0.4854;304.95;304.95;312.1;297.8;1.009;0.994;0.9991;6.756;6.876;6.97;6.92;0.0817;0.0815;0.0959;0.1192
T2-L13B1;136;;;;12.14;12.06;12.15;75.85;75.58;0.003;0.0021;0.0504;0.049;0.0489;0.4683;0.4703;271.1;268.4;9.199;9.304;0.3378;0.3488;0.3447;0.4755;1.024;1.034;0.9958;0.9997;1.02;0.075;0.538;563.25;563.25;561.8;564.7;1.006;0.9523;1.006;8.608;8.829;9.017;8.93;0.0892;0.0848;0.1001;0.1449
T2-N13E21;102.4;167.5639;;;5.853;5.899;5.942;360.6;350.6;0.003;0.0024;0.0216;0.0234;0.0226;0.0521;0.0647;279.4;279.6;5.006;5.178;0.1541;0.1592;0.1564;0.3036;0.2327;0.2174;0.2098;0.2218;0.2121;0.0204;0.5421;331.4;331.4;331.2;331.6;0.9923;0.9409;0.9936;11.06;11.31;11.66;11.52;0.0869;0.0849;0.0989;0.1365
T2-N13E22;111;167.5639;;;5.626;5.677;5.727;361;350.1;0.0024;0.0032;0.0231;0.0235;0.0234;0.0529;0.0657;288;284.3;5.881;6.107;0.1719;0.1792;0.1754;0.3256;0.2339;0.2162;0.2088;0.219;0.2116;0.0405;0.5385;337.5;337.5;337.4;337.6;0.9744;0.928;0.9795;9.962;10.22;10.47;10.36;0.0553;0.0528;0.0678;0.1102
T2-N13E12;104.6;164.0358;;;5.646;5.709;5.723;376.3;366;0.0034;0.0027;0.0264;0.0246;0.0237;0.0581;0.0702;271.4;271;6.936;7.231;0.2036;0.211;0.2074;0.3474;0.2838;0.2733;0.2598;0.2746;0.2671;0.029;0.5001;332.9;332.9;333.3;332.5;0.9713;0.9268;0.9828;10.06;10.32;10.61;10.46;0.0643;0.0618;0.0764;0.1143
T2-N13E11;107.7;164.0358;;;5.158;5.209;5.245;362.5;351.7;0.0026;0.0047;0.0235;0.0239;0.0241;0.0558;0.0675;258;257.9;5.297;5.476;0.1676;0.1736;0.1708;0.306;0.2718;0.2595;0.2501;0.2578;0.254;0.0236;0.4752;315.5;315.5;316.1;314.9;0.9733;0.9298;0.9789;8.294;8.485;8.678;8.555;0.0788;0.0774;0.0895;0.1311
